cnn_model,lstm_cells,train_loss,train_f1,val_loss,val_f1,test_loss,test_f1
efficientnetv2-s,1,0.0833,0.9693,0.2338,0.932,0.12,0.9675
efficientnetv2-s,2,0.048,0.9869,0.1492,0.9586,0.0849,0.9775
efficientnetv2-s,3,0.185,0.9349,0.3138,0.8779,0.2181,0.9175
efficientnetv2-s,4,0.1111,0.9605,0.268,0.9187,0.1375,0.96
efficientnetv2-s,5,0.0228,0.9936,0.1915,0.927,0.0666,0.9825
efficientnetv2-s,6,0.0396,0.9875,0.1626,0.9537,0.0789,0.98
efficientnetv2-s,7,0.1473,0.9402,0.2269,0.932,0.1458,0.96
efficientnetv2-s,8,0.0504,0.9872,0.1829,0.9139,0.1408,0.95
efficientnetv2-s,9,0.018,0.9969,0.2741,0.9295,0.0649,0.9825
